Equipo1,Equipo2,Resultado,2M_Equipo1,6mCGoals_Equipo1,6mCMissed_Equipo1,7mPGoals_Equipo1,7mPMissed_Equipo1,9mGoals_Equipo1,9mMissed_Equipo1,P7_Equipo1,R7_Equipo1,ST_Equipo1,TO_Equipo1,WingGoals_Equipo1,WingMissed_Equipo1,cor_vars_mean_Equipo1,rcvGoals_Equipo1,2M_Equipo2,6mCGoals_Equipo2,6mCMissed_Equipo2,7mPGoals_Equipo2,7mPMissed_Equipo2,9mGoals_Equipo2,9mMissed_Equipo2,P7_Equipo2,R7_Equipo2,ST_Equipo2,TO_Equipo2,WingGoals_Equipo2,WingMissed_Equipo2,cor_vars_mean_Equipo2,rcvGoals_Equipo2
FRA,MNE,0,13,12,8,8,6,16,24,14,14,9,35,21,13,10.799999999999999,60,9,13,3,7,2,14,26,10,9,11,37,26,21,10.799999999999999,77
DEN,SLO,0,9,8,6,7,5,16,13,11,12,14,33,32,17,11.999999999999998,65,12,10,10,5,5,24,34,10,10,11,30,18,18,6.400000000000002,83
SLO,FRA,2,12,10,10,5,5,24,34,10,10,11,30,18,18,6.400000000000002,83,13,12,8,8,6,16,24,14,14,9,35,21,13,10.799999999999999,60
MNE,DEN,2,9,13,3,7,2,14,26,10,9,11,37,26,21,10.799999999999999,77,9,8,6,7,5,16,13,11,12,14,33,32,17,11.999999999999998,65
MNE,SLO,0,9,13,3,7,2,14,26,10,9,11,37,26,21,10.799999999999999,77,12,10,10,5,5,24,34,10,10,11,30,18,18,6.400000000000002,83
FRA,DEN,0,13,12,8,8,6,16,24,14,14,9,35,21,13,10.799999999999999,60,9,8,6,7,5,16,13,11,12,14,33,32,17,11.999999999999998,65
RUS,ESP,0,10,10,2,5,4,21,25,10,9,14,34,30,15,14.200000000000001,70,14,10,5,17,2,15,22,10,19,12,50,19,17,14.199999999999998,78
SWE,CZE,0,13,18,5,10,7,24,34,14,17,8,41,13,14,11.599999999999998,76,10,4,3,8,5,25,40,24,13,12,40,22,10,8.400000000000002,78
CZE,RUS,2,10,4,3,8,5,25,40,24,13,12,40,22,10,8.400000000000002,78,10,10,2,5,4,21,25,10,9,14,34,30,15,14.200000000000001,70
ESP,SWE,1,14,10,5,17,2,15,22,10,19,12,50,19,17,14.199999999999998,78,13,18,5,10,7,24,34,14,17,8,41,13,14,11.599999999999998,76
ESP,CZE,0,14,10,5,17,2,15,22,10,19,12,50,19,17,14.199999999999998,78,10,4,3,8,5,25,40,24,13,12,40,22,10,8.400000000000002,78
RUS,SWE,0,10,10,2,5,4,21,25,10,9,14,34,30,15,14.200000000000001,70,13,18,5,10,7,24,34,14,17,8,41,13,14,11.599999999999998,76
HUN,CRO,2,7,7,5,9,1,19,28,10,11,13,41,24,15,17.4,78,11,16,6,5,2,24,27,17,9,16,36,18,10,10.8,71
NED,SRB ,2,10,17,3,8,3,9,28,9,11,11,35,19,26,16.599999999999998,80,7,15,5,10,4,14,23,8,14,13,38,30,21,13.599999999999998,88
SRB ,HUN,2,7,15,5,10,4,14,23,8,14,13,38,30,21,13.599999999999998,88,7,7,5,9,1,19,28,10,11,13,41,24,15,17.4,78
CRO,NED,0,11,16,6,5,2,24,27,17,9,16,36,18,10,10.8,71,10,17,3,8,3,9,28,9,11,11,35,19,26,16.599999999999998,80
SRB ,CRO,2,7,15,5,10,4,14,23,8,14,13,38,30,21,13.599999999999998,88,11,16,6,5,2,24,27,17,9,16,36,18,10,10.8,71
NED,HUN,0,10,17,3,8,3,9,28,9,11,11,35,19,26,16.599999999999998,80,7,7,5,9,1,19,28,10,11,13,41,24,15,17.4,78
ROU,GER,2,11,17,7,7,4,14,35,12,11,6,41,18,18,12.799999999999995,74,13,9,8,4,8,14,27,15,12,13,40,18,15,14.199999999999998,82
NOR,POL,0,11,14,5,14,1,9,16,10,15,19,20,25,13,28.999999999999986,65,12,10,2,9,2,19,35,12,11,11,44,15,10,13.999999999999998,84
POL,ROU,2,12,10,2,9,2,19,35,12,11,11,44,15,10,13.999999999999998,84,11,17,7,7,4,14,35,12,11,6,41,18,18,12.799999999999995,74
GER,NOR,2,13,9,8,4,8,14,27,15,12,13,40,18,15,14.199999999999998,82,11,14,5,14,1,9,16,10,15,19,20,25,13,28.999999999999986,65
GER,POL,1,13,9,8,4,8,14,27,15,12,13,40,18,15,14.199999999999998,82,12,10,2,9,2,19,35,12,11,11,44,15,10,13.999999999999998,84
ROU,NOR,2,11,17,7,7,4,14,35,12,11,6,41,18,18,12.799999999999995,74,11,14,5,14,1,9,16,10,15,19,20,25,13,28.999999999999986,65
